sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city,date,city_day,num_show,city_num,choice_name
Hold You Now,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,1,54,Father of the Bride,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Holiday,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,2,15,Contra,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
One (Blake's Got a New Face),Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,3,8,Vampire Weekend,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Ice Cream Piano,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,4,40,Only God Was Above Us,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Classical,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,5,37,Only God Was Above Us,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Connect,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,6,38,Only God Was Above Us,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
White Sky,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,7,14,Contra,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Cape Cod Kwassa Kwassa,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,8,4,Vampire Weekend,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
This Life,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,9,57,Father of the Bride,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Sunflower,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,10,65,Father of the Bride,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Sympathy,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,11,64,Father of the Bride,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Stranger,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,12,69,Father of the Bride,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
The Surfer,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,13,45,Only God Was Above Us,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Giving Up the Gun,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,14,20,Contra,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Capricorn,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,15,36,Only God Was Above Us,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Gen-X Cops,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,16,39,Only God Was Above Us,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Diane Young,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,17,27,Modern Vampires of the City,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Cousins,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,18,19,Contra,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
A-Punk,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,19,3,Vampire Weekend,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Campus,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,20,6,Vampire Weekend,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Oxford Comma,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,21,2,Vampire Weekend,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Prep-School Gangsters,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,22,43,Only God Was Above Us,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Mary Boone,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,23,41,Only God Was Above Us,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Hannah Hunt,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,24,29,Modern Vampires of the City,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Harmony Hall,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,25,55,Father of the Bride,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Hope,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,26,42,Only God Was Above Us,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Walcott,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,VW Show,39,10,Vampire Weekend,New Orleans,2025-09-24,New Orleans 24,87,New Orleans 2,New Orleans 2: 2025-09-24
Ice Cream Piano,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,1,40,Only God Was Above Us,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Classical,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,2,37,Only God Was Above Us,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Unbelievers,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,3,25,Modern Vampires of the City,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Step,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,4,26,Modern Vampires of the City,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
This Life,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,5,57,Father of the Bride,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Sympathy,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,6,64,Father of the Bride,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
Capricorn,Vampire Weekend,"Piedmont Park, Atlanta, GA, USA",Sep,21,2025,Only God Was Above Us,Shaky Knees Music Festival 2025,7,36,Only God Was Above Us,Atlanta,2025-09-21,Atlanta 21,86,Atlanta 2,Shaky Knees Music Festival 2025: 2025-09-21
