sets,artist,venue.x,month,day,year,tour,song_num,album,city,date1,city.y,capacity,once,five,city1,lon,lat,state,showavgo,totalavgo,venue.y,totalavgo <- avgoverlap
Cousins,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,1,Contra,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Oxford Comma,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,2,Vampire Weekend,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
One (Blake's Got a New Face),Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,3,Vampire Weekend,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Ice Cream Piano,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,4,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Classical,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,5,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Connect,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,6,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Unbelievers,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,7,Modern Vampires of the City,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Cape Cod Kwassa Kwassa,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,8,Vampire Weekend,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
This Life,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,9,Father of the Bride,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Sunflower,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,10,Father of the Bride,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Sympathy,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,11,Father of the Bride,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
The Surfer,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,12,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Horchata,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,13,Contra,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Bambina,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,14,Father of the Bride,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Capricorn,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,15,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Gen-X Cops,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,16,Only God Was Above Us,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
Diane Young,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,17,Modern Vampires of the City,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
A-Punk,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,18,Vampire Weekend,Amsterdam,Dec 15,Amsterdam,6000,0,0,Amsterdam,4.9446128,52.3123229,NA,0.56,0.56,"AFAS Live, Amsterdam, Netherlands",0.56
