sets	artist	venue	month	day	year	song_num
Cousins	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	1
Oxford Comma	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	2
One (Blake's Got A New Face)	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	3
Ice Cream Piano	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	4
Classical	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	5
Connect	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	6
Unbelievers	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	7
Cape Cod Kwassa Kwassa	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	8
This Life	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	9
Sunflower	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	10
Sympathy	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	11
The Surfer	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	12
Horchata	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	13
Bambina	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	14
Capricorn	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	15
Gen-X Cops	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	16
Diane Young	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	17
A-Punk	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	18
Prep-School Gangsters	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	19
Mary Boone	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	20
Hannah Hunt	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	21
Harmony Hall	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	22
Hope	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	23
Dancing in the Dark	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	24
Modern Love	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	25
The Chanukah Song	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	26
Message in a Bottle	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	27
505	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	28
Radar Love	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	29
Last Christmas	Vampire Weekend	"AFAS Live, Amsterdam, Netherlands"	Dec	15	2024	30
