sets,artist,venue,month,day,year,tour,festival,song_num,num,album,city
Hold You Now,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,1,54,Father of the Bride,New Orleans
Holiday,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,2,15,Contra,New Orleans
One (Blake's Got a New Face),Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,3,8,Vampire Weekend,New Orleans
Ice Cream Piano,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,4,40,Only God Was Above Us,New Orleans
Classical,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,5,37,Only God Was Above Us,New Orleans
Connect,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,6,38,Only God Was Above Us,New Orleans
White Sky,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,7,14,Contra,New Orleans
Cape Cod Kwassa Kwassa,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,8,4,Vampire Weekend,New Orleans
This Life,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,9,57,Father of the Bride,New Orleans
Sunflower,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,10,65,Father of the Bride,New Orleans
Sympathy,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,11,64,Father of the Bride,New Orleans
Stranger,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,12,69,Father of the Bride,New Orleans
The Surfer,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,13,45,Only God Was Above Us,New Orleans
Giving Up the Gun,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,14,20,Contra,New Orleans
Capricorn,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,15,36,Only God Was Above Us,New Orleans
Gen-X Cops,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,16,39,Only God Was Above Us,New Orleans
Diane Young,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,17,27,Modern Vampires of the City,New Orleans
Cousins,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,18,19,Contra,New Orleans
A-Punk,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,19,3,Vampire Weekend,New Orleans
Campus,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,20,6,Vampire Weekend,New Orleans
Oxford Comma,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,21,2,Vampire Weekend,New Orleans
Prep-School Gangsters,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,22,43,Only God Was Above Us,New Orleans
Mary Boone,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,23,41,Only God Was Above Us,New Orleans
Hannah Hunt,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,24,29,Modern Vampires of the City,New Orleans
Harmony Hall,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,25,55,Father of the Bride,New Orleans
Hope,Vampire Weekend,"Saenger Performing Arts Theater, New Orleans, LA, USA",Sep,24,2025,Only God Was Above Us,0,26,42,Only God Was Above Us,New Orleans
