city,album,count,percentage,date,num
Amsterdam,Contra,2,0.08,2024-12-15,1
Amsterdam,Father of the Bride,5,0.2,2024-12-15,1
Amsterdam,Modern Vampires of the City,5,0.2,2024-12-15,1
Amsterdam,Only God Was Above Us,9,0.36,2024-12-15,1
Amsterdam,Vampire Weekend,4,0.16,2024-12-15,1
Atlanta,Contra,2,0.08333333333333333,2024-10-12,14
Atlanta,Father of the Bride,4,0.16666666666666666,2024-10-12,14
Atlanta,Modern Vampires of the City,3,0.125,2024-10-12,14
Atlanta,Only God Was Above Us,8,0.3333333333333333,2024-10-12,14
Atlanta,Other,1,0.041666666666666664,2024-10-12,14
Atlanta,Vampire Weekend,6,0.25,2024-10-12,14
Austin 2,Contra,3,0.11538461538461539,2024-10-17,12
Austin 2,Father of the Bride,4,0.15384615384615385,2024-10-17,12
Austin 2,Modern Vampires of the City,3,0.11538461538461539,2024-10-17,12
Austin 2,Only God Was Above Us,9,0.34615384615384615,2024-10-17,12
Austin 2,Other,2,0.07692307692307693,2024-10-17,12
Austin 2,Vampire Weekend,5,0.19230769230769232,2024-10-17,12
Bend,Contra,1,0.045454545454545456,2024-06-19,44
Bend,Father of the Bride,4,0.18181818181818182,2024-06-19,44
Bend,Modern Vampires of the City,4,0.18181818181818182,2024-06-19,44
Bend,Only God Was Above Us,7,0.3181818181818182,2024-06-19,44
Bend,Vampire Weekend,6,0.2727272727272727,2024-06-19,44
Berkeley 1,Contra,2,0.08333333333333333,2024-06-15,47
Berkeley 1,Father of the Bride,4,0.16666666666666666,2024-06-15,47
Berkeley 1,Modern Vampires of the City,4,0.16666666666666666,2024-06-15,47
Berkeley 1,Only God Was Above Us,9,0.375,2024-06-15,47
Berkeley 1,Other,1,0.041666666666666664,2024-06-15,47
Berkeley 1,Vampire Weekend,4,0.16666666666666666,2024-06-15,47
Berkeley 2,Contra,2,0.07692307692307693,2024-06-16,46
Berkeley 2,Father of the Bride,6,0.23076923076923078,2024-06-16,46
Berkeley 2,Modern Vampires of the City,4,0.15384615384615385,2024-06-16,46
Berkeley 2,Only God Was Above Us,7,0.2692307692307692,2024-06-16,46
Berkeley 2,Vampire Weekend,7,0.2692307692307692,2024-06-16,46
Bonner 1,Contra,2,0.09090909090909091,2024-06-22,42
Bonner 1,Father of the Bride,4,0.18181818181818182,2024-06-22,42
Bonner 1,Modern Vampires of the City,3,0.13636363636363635,2024-06-22,42
Bonner 1,Only God Was Above Us,7,0.3181818181818182,2024-06-22,42
Bonner 1,Other,2,0.09090909090909091,2024-06-22,42
Bonner 1,Vampire Weekend,4,0.18181818181818182,2024-06-22,42
Bonner 2,Contra,2,0.08,2024-06-23,41
Bonner 2,Father of the Bride,5,0.2,2024-06-23,41
Bonner 2,Modern Vampires of the City,3,0.12,2024-06-23,41
Bonner 2,Only God Was Above Us,8,0.32,2024-06-23,41
Bonner 2,Other,1,0.04,2024-06-23,41
Bonner 2,Vampire Weekend,6,0.24,2024-06-23,41
Boston,Contra,4,0.14814814814814814,2024-09-27,24
Boston,Father of the Bride,4,0.14814814814814814,2024-09-27,24
Boston,Modern Vampires of the City,3,0.1111111111111111,2024-09-27,24
Boston,Only God Was Above Us,8,0.2962962962962963,2024-09-27,24
Boston,Other,1,0.037037037037037035,2024-09-27,24
Boston,Vampire Weekend,7,0.25925925925925924,2024-09-27,24
Burnaby,Contra,2,0.09090909090909091,2024-06-18,45
Burnaby,Father of the Bride,4,0.18181818181818182,2024-06-18,45
Burnaby,Modern Vampires of the City,3,0.13636363636363635,2024-06-18,45
Burnaby,Only God Was Above Us,8,0.36363636363636365,2024-06-18,45
Burnaby,Other,1,0.045454545454545456,2024-06-18,45
Burnaby,Vampire Weekend,4,0.18181818181818182,2024-06-18,45
Charlottesville,Contra,4,0.16,2024-10-02,20
Charlottesville,Father of the Bride,4,0.16,2024-10-02,20
Charlottesville,Modern Vampires of the City,4,0.16,2024-10-02,20
Charlottesville,Only God Was Above Us,8,0.32,2024-10-02,20
Charlottesville,Other,1,0.04,2024-10-02,20
Charlottesville,Vampire Weekend,4,0.16,2024-10-02,20
Chicago 1,Contra,3,0.13043478260869565,2024-07-26,35
