sets,artist,venue,month,day,year,tour,song_num,album,city
Cousins,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,1,Contra,Amsterdam
Oxford Comma,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,2,Vampire Weekend,Amsterdam
One (Blake's Got a New Face),Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,3,Vampire Weekend,Amsterdam
Ice Cream Piano,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,4,Only God Was Above Us,Amsterdam
Classical,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,5,Only God Was Above Us,Amsterdam
Connect,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,6,Only God Was Above Us,Amsterdam
Unbelievers,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,7,Modern Vampires of the City,Amsterdam
Cape Cod Kwassa Kwassa,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,8,Vampire Weekend,Amsterdam
This Life,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,9,Father of the Bride,Amsterdam
Sunflower,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,10,Father of the Bride,Amsterdam
Sympathy,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,11,Father of the Bride,Amsterdam
The Surfer,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,12,Only God Was Above Us,Amsterdam
Horchata,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,13,Contra,Amsterdam
Bambina,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,14,Father of the Bride,Amsterdam
Capricorn,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,15,Only God Was Above Us,Amsterdam
Gen-X Cops,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,16,Only God Was Above Us,Amsterdam
Diane Young,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,17,Modern Vampires of the City,Amsterdam
A-Punk,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,18,Vampire Weekend,Amsterdam
Prep-School Gangsters,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,19,Only God Was Above Us,Amsterdam
Mary Boone,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,20,Only God Was Above Us,Amsterdam
Hannah Hunt,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,21,Modern Vampires of the City,Amsterdam
Harmony Hall,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,22,Father of the Bride,Amsterdam
Hope,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,23,Only God Was Above Us,Amsterdam
Worship You,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,39,Modern Vampires of the City,Amsterdam
Ya Hey,Vampire Weekend,"AFAS Live, Amsterdam, Netherlands",Dec,15,2024,Only God Was Above Us,40,Modern Vampires of the City,Amsterdam
Hold You Now,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,1,Father of the Bride,Paris
Holiday,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,2,Contra,Paris
Boston (Ladies of Cambridge),Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,3,Other,Paris
Ice Cream Piano,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,4,Only God Was Above Us,Paris
Classical,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,5,Only God Was Above Us,Paris
Connect,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,6,Only God Was Above Us,Paris
White Sky,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,7,Contra,Paris
Step,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,8,Modern Vampires of the City,Paris
This Life,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,9,Father of the Bride,Paris
Sunflower,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,10,Father of the Bride,Paris
Sympathy,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,11,Father of the Bride,Paris
New Dorp. New York,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,12,Other,Paris
Pravda,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,13,Only God Was Above Us,Paris
Campus,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,14,Vampire Weekend,Paris
Oxford Comma,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,15,Vampire Weekend,Paris
Capricorn,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,16,Only God Was Above Us,Paris
Gen-X Cops,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,17,Only God Was Above Us,Paris
Diane Young,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,18,Modern Vampires of the City,Paris
Cousins,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,19,Contra,Paris
A-Punk,Vampire Weekend,"Adidas Arena, Paris, France",Dec,13,2024,Only God Was Above Us,20,Vampire Weekend,Paris
