rownames(songpos),V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52
One (Blake's Got a New Face),3,2.9411764705882355,2.9411764705882355,2.9411764705882355,3,3,2.9411764705882355,3,2.9411764705882355,2.9411764705882355,3,2.9411764705882355,3,2.9411764705882355,3,2.9411764705882355,2.9411764705882355,2.9411764705882355,3,2.9411764705882355,2.9411764705882355,3,2.9411764705882355,2.9411764705882355,3,2.9411764705882355,2.9411764705882355,2.9411764705882355,3,2.9411764705882355,2.9411764705882355,3,2.9411764705882355,2.9411764705882355,3,2.9411764705882355,2.9411764705882355,2.9411764705882355,3,2.9411764705882355,2.9411764705882355,3,2.9411764705882355,2.9411764705882355,2.9411764705882355,3,2.9411764705882355,2.9411764705882355,2.9411764705882355,2,2.9411764705882355,2.9411764705882355
Ice Cream Piano,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,3
Classical,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,4
Connect,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8,7,6
Cape Cod Kwassa Kwassa,8,5.903225806451613,5.903225806451613,7,1,5.903225806451613,8,5.903225806451613,8,2,5.903225806451613,7,5.903225806451613,7,5.903225806451613,8,2,8,5.903225806451613,2,7,5.903225806451613,5.903225806451613,1,5.903225806451613,8,2,2,5.903225806451613,8,5.903225806451613,7,5.903225806451613,7,5.903225806451613,2,5.903225806451613,8,5.903225806451613,2,7,2,5.903225806451613,12,8,5.903225806451613,8,8,8,5.903225806451613,8,5.903225806451613
This Life,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,9,8,9,8,8,9,9,9,8,9,8,9,9,10,10,9,10,11,10,10
Sunflower,10,10,10,10.285714285714286,10.285714285714286,10,10.285714285714286,10,10.285714285714286,10,10.285714285714286,10.285714285714286,10,10,10,10.285714285714286,10,11,10.285714285714286,10,10,10.285714285714286,10,10,10.285714285714286,10,10,10,10.285714285714286,10,9,10.285714285714286,10,10.285714285714286,10,10,10.285714285714286,10,11,13,10,10.285714285714286,10,10,10.285714285714286,11,10.285714285714286,10,11,12,11,11
Sympathy,11,11,11,10,10,11,10,11,11,11,10,10,13,11,11,10,11,10.825,10,11,10.825,10,10.825,11,10,11,11,10.825,10,11,10.825,10,10.825,10,11,10.825,10,11,10.825,10,10.825,10,12,10.825,10,10.825,11,11,12,13,14,10.825
The Surfer,12,13.1,12,13.1,12,13.1,13.1,12,13.1,13.1,12,30,13.1,12,13.1,13.1,12,13.1,12,13.1,13.1,12,13.1,13.1,12,13.1,12,13.1,13.1,12,13.1,12,13.1,13.1,12,13.1,13.1,13.1,13.1,12,13.1,13.1,13,13.1,13.1,13.1,13,13,13.1,13.1,13,13.1
Horchata,13,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,13,16.5,13,16.5,16.5,16.5,16.5,16.5,22,16.5,16.5,13,16.5,16.5,16.5,16.5,16.5,13,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,16.5,24,16.5,16.5,16.5,16.5,21,16.5,16.5,16.5,16.5,16.5,16.5
Bambina,14,11.615384615384617,11.615384615384617,11.615384615384617,11.615384615384617,11.615384615384617,11.615384615384617,14,11.615384615384617,11.615384615384617,11.615384615384617,11.615384615384617,11.615384615384617,11.615384615384617,11.615384615384617,13,11.615384615384617,11.615384615384617,13,11.615384615384617,11.615384615384617,11.615384615384617,13,11.615384615384617,11.615384615384617,11.615384615384617,11.615384615384617,11,11.615384615384617,11.615384615384617,11.615384615384617,11.615384615384617,13,11.615384615384617,13,11.615384615384617,11.615384615384617,12,11.615384615384617,11.615384615384617,13,11,11.615384615384617,11.615384615384617,11.615384615384617,8,11.615384615384617,11.615384615384617,11.615384615384617,3,11.615384615384617,11.615384615384617
Capricorn,15,16,16,14,15,14,15,16,14,16,15,16,15,14,16,16,14,17,16,15,14,16,15,17,15,16,14,16,14,15,14,15,14,14,15,14,13,15,18,14,17,12,16,13,14,17,14,15,6,7,6,5
Gen-X Cops,16,17,17,15,16,15,16,17,15,17,16,17,16,15,17,17,15,16.06122448979592,17,16,15,17,16,18,16,17,15,17,15,16,15,16,15,15,16,18,14,16,19,15,18,16.06122448979592,17,14,15,16.06122448979592,15,16,15,15,17,17
Diane Young,17,18,18,16,17,16,17,18,16,18,17,18,17,16,18,18,16,16.980392156862745,18,17,16,18,17,19,17,18,16,18,16,17,16,17,16,16,17,16,15,17,20,16,19,13,18,15,17,19,16,17,16,16,18,18
A-Punk,18,20,20,17,19,18,19,19,17,20,19,20,19.5,18,19,20,18,19,19,19,17,20,18,21.5,19,20.5,18,19,18,19,17,19,18,18,18,17,16,19,15,17,20,15,19,17,16,20,17,18,18,18,19,20
Prep-School Gangsters,19,21,19.18918918918919,18,20,19.18918918918919,20,20,18,19.18918918918919,20,19.18918918918919,22,19.18918918918919,20,21,19.18918918918919,21,19.18918918918919,20,19,21,19.18918918918919,19.18918918918919,20,22,19,19.18918918918919,19,20,18,20,19.18918918918919,19,20,19.18918918918919,18,20,17,20,21,17,21,19.18918918918919,18,18,18,19,19.18918918918919,19,19.18918918918919,7
Mary Boone,20,22,22,20,21,20,21,21,19,22,21,22,23,20,21,22,20,23,21,21,20,22,20,23,21,23,20,21,20,21,19,21,20,20,21,19,19,21,21,21,25,18,22,19,21,26,19,20,20,20,21,21
Hannah Hunt,21,22,23,22,22,22,22,22,22,23,30,23,22,21,22,22,21,24,22,22,21,22,22,24,22,22,22,22,21,22,22,22,22,21,22,22,20,22,22,22,22,19,22,20,22,22,22,21,22,21,22,22
Harmony Hall,22,24,24,21,22,21,23,22,21,24,22,24,24,22,22,23,22,25,22,22,22,23,21,25,23,24,21,22,22,22,20,23,21,22,22,20,21,22,23,22,22,20,23,21,19,23,20,22,22,22,22,23
Hope,23,25,25,22,23,22,24,23,22,25,23,25,25,23,23,24,23,23.145833333333332,23,23,23,24,22,26,24,25,22,23,23,23,21,23.145833333333332,22,23,23,21,22,23,24,23,23.145833333333332,21,24,22,20,23.145833333333332,23,23,25,23,23,24
Worship You,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Ya Hey,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Hold You Now,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Holiday,1.6785714285714286,2,2,1.6785714285714286,2,1,1.6785714285714286,2,1.6785714285714286,1,1.6785714285714286,2,1,1.6785714285714286,2,2,1.6785714285714286,1.6785714285714286,2,1,1.6785714285714286,2,1.6785714285714286,2,1.6785714285714286,2,1.6785714285714286,1,1.6785714285714286,1.6785714285714286,2,2,1.6785714285714286,1.6785714285714286,1,1,1.6785714285714286,2,2,1.6785714285714286,2,1.6785714285714286,3,1.6785714285714286,1.6785714285714286,1,1.6785714285714286,1,1.6785714285714286,1,1.6785714285714286,2
Boston (Ladies of Cambridge),2.9,3,2.9,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3,2.9,2.9,2.9,3,2.9,2.9,2.9,2.9,3,2.9,2.9,2.9,2,2.9,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3,2.9,2.9,2.9,3,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3,2.9,2.9,2.9,2.9
White Sky,7.1,7,7.1,8,7.1,7,7.1,7,7,7.1,7,7.1,7,7.1,7,7.1,7,7.1,7,7,7.1,7,7.1,7,7,7.1,7,7,7.1,7,6,7.1,7,7.1,7,7,7.1,7,7.1,7,7.1,7,7,7.1,7,7.1,7,7,7.1,9,7.1,8
Step,8.407407407407407,8,8,8.407407407407407,8,8.407407407407407,8.407407407407407,8,8.407407407407407,8,8.407407407407407,8,8,8,8.407407407407407,8.407407407407407,8,8.407407407407407,8,8.407407407407407,8.407407407407407,8,8,8.407407407407407,8,8.407407407407407,8.407407407407407,8,8,8.407407407407407,8.407407407407407,8.407407407407407,8,9,8.407407407407407,9,9,8.407407407407407,10,8.407407407407407,9,8.407407407407407,9,8,8.407407407407407,9,9,8.407407407407407,9,8.407407407407407,9,8.407407407407407
New Dorp. New York,11.347826086956522,12,11.347826086956522,11,11,11.347826086956522,11,11.347826086956522,12,11.347826086956522,11,11,11.347826086956522,11.347826086956522,12,11,11.347826086956522,11.347826086956522,11,12,11.347826086956522,11,11.347826086956522,12,11,11.347826086956522,11.347826086956522,11.347826086956522,11,11.347826086956522,11.347826086956522,11,11.347826086956522,11,11.347826086956522,11.347826086956522,11,11.347826086956522,11.347826086956522,11,11.347826086956522,10,11.347826086956522,11.347826086956522,11,11.347826086956522,12,11.347826086956522,11.347826086956522,14,11.347826086956522,11.347826086956522
Pravda,13,13,13,12,13,13,13,13,13,12,13,12,12,13,13,12,13,13,13,13,12,13,12,13,13,12,13,13,13,13,12,13,12,13,13,13,12,13,13,13,23,13,13,13,13,14,13,13,13,13,13,13
